Date,Open,High,Low,Close,Volume
2020.05.19,11:00,18.23787,18.25290,18.19740,18.21025,4105
2020.05.19,12:00,18.21020,18.22510,18.17680,18.18582,4521
2020.05.19,13:00,18.18609,18.25094,18.18598,18.21820,5444
2020.05.19,14:00,18.21816,18.25940,18.18720,18.22166,5919
2020.05.19,15:00,18.22585,18.29410,18.19510,18.22399,6609
2020.05.19,16:00,18.22358,18.27480,18.21565,18.26973,4836
2020.05.19,17:00,18.26979,18.27872,18.26171,18.27088,2428
2020.05.19,18:00,18.27117,18.27858,18.24970,18.25289,2423
2020.05.19,19:00,18.25270,18.27745,18.22825,18.24183,4133
2020.05.19,20:00,18.24176,18.35136,18.24047,18.35075,3360
2020.05.19,21:00,18.34964,18.35048,18.28625,18.33000,659
2020.05.19,22:05,18.30475,18.33055,18.25169,18.32354,402
2020.05.19,23:05,18.32631,18.34755,18.31847,18.33308,927
2020.05.20,00:00,18.33277,18.33745,18.32032,18.32950,868
2020.05.20,01:00,18.32950,18.33130,18.31137,18.31182,877
2020.05.20,02:00,18.31223,18.31707,18.27087,18.27226,550
2020.05.20,03:00,18.27254,18.30416,18.27057,18.30161,740
2020.05.20,04:00,18.30182,18.30927,18.29673,18.29733,493
2020.05.20,05:00,18.29724,18.29747,18.28749,18.29133,833
2020.05.20,06:00,18.29113,18.29485,18.28506,18.29168,595
2020.05.20,07:00,18.29212,18.35499,18.26467,18.31424,4043
2020.05.20,08:00,18.31402,18.31402,18.24236,18.26524,5908
2020.05.20,09:00,18.26493,18.26525,18.11399,18.15457,5251
2020.05.20,10:00,18.15462,18.17330,18.06050,18.06410,4558
2020.05.20,11:00,18.06424,18.07500,17.97185,18.02682,4728
2020.05.20,12:00,18.02456,18.05806,17.98893,17.99420,4275
2020.05.20,13:00,17.99366,18.05531,17.99270,18.01825,5692
2020.05.20,14:00,18.01840,18.02249,17.94454,17.97108,6485
2020.05.20,15:00,17.97115,17.98435,17.92617,17.94399,6516
2020.05.20,16:00,17.94594,17.98534,17.94514,17.96550,5030
2020.05.20,17:00,17.96544,17.98496,17.93051,17.98119,3575
